INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 3793181345
INFO: Loaded 1 modules   (4141 inline 8-bit counters): 4141 [0x618a23425220, 0x618a2342624d), 
INFO: Loaded 1 PC tables (4141 PCs): 4141 [0x618a23426250,0x618a23436520), 
INFO: 5530 Extra Counters
#18103	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 394/4060 MS: 1 EraseBytes-
#19179	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 99/4060 MS: 1 EraseBytes-
#20625	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 160/4060 MS: 1 EraseBytes-
#23295	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 0 rss: 30Mb L: 1/4060 MS: 5 ChangeBinInt-CopyPart-ShuffleBytes-EraseBytes-EraseBytes-
#27836	REDUCE cov: 285 ft: 2373 corp: 536/325Kb lim: 4096 exec/s: 27836 rss: 31Mb L: 78/4060 MS: 1 EraseBytes-
#28267	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 28267 rss: 31Mb L: 273/4060 MS: 1 EraseBytes-
#28712	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 28712 rss: 31Mb L: 519/4060 MS: 5 ChangeBinInt-InsertByte-EraseBytes-InsertByte-CopyPart-
#30749	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 30749 rss: 31Mb L: 19/4060 MS: 1 EraseBytes-
#32863	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 32863 rss: 31Mb L: 221/4060 MS: 4 ChangeASCIIInt-ShuffleBytes-ChangeBinInt-EraseBytes-
#35264	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 35264 rss: 31Mb L: 541/4060 MS: 1 EraseBytes-
#36821	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 36821 rss: 31Mb L: 98/4060 MS: 2 EraseBytes-CopyPart-
#37852	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 37852 rss: 31Mb L: 134/4060 MS: 1 EraseBytes-
#39580	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 39580 rss: 31Mb L: 13/4060 MS: 3 CrossOver-ChangeByte-EraseBytes-
#39937	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 39937 rss: 31Mb L: 3/4060 MS: 2 InsertByte-EraseBytes-
#40528	REDUCE cov: 285 ft: 2373 corp: 536/324Kb lim: 4096 exec/s: 40528 rss: 31Mb L: 4/4060 MS: 1 EraseBytes-
